"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"84","Mackenzie Blackwood","N.J","23","100.13333333333","77","68","9","0.883","5.39","1.21","9.4","20","17","3","0.850","1.80","1.12","28","24","4","0.857","2.40","0.06","29","27","2","0.931","1.20","0.13","0","7","31.26","26.89"
"71","Connor Hellebuyck","WPG","63","319.03333333333","303","267","36","0.881","6.77","4.19","35.79","80","61","19","0.763","3.57","-2.54","86","77","9","0.895","1.69","3.48","133","126","7","0.947","1.32","2.77","2","42","32.93","26.00"
"89","Casey DeSmith","PIT","36","149.53333333333","125","110","15","0.880","6.02","1.58","15.53","35","27","8","0.771","3.21","-0.80","31","26","5","0.839","2.01","-0.50","57","55","2","0.965","0.80","2.19","0","17","33.64","22.93"
"30","Semyon Varlamov","COL","49","267.78333333333","257","226","31","0.879","6.95","3.09","28.59","68","51","17","0.750","3.81","-3.01","66","60","6","0.909","1.34","3.58","120","112","8","0.933","1.79","0.82","2","39","34.47","22.55"
"19","Anton Khudobin","DAL","41","168.25","172","151","21","0.878","7.49","1.81","20.06","51","43","8","0.843","2.85","2.50","45","39","6","0.867","2.14","0.53","74","67","7","0.905","2.50","-1.56","0","18","32.84","24.14"
"35","Jacob Markstrom","VAN","60","292.41666666667","235","206","29","0.877","5.95","2.17","30.92","80","68","12","0.850","2.46","4.46","64","56","8","0.875","1.64","1.29","91","82","9","0.901","1.85","-2.31","2","33","30.30","28.48"
"78","Juuse Saros","NSH","31","151.31666666667","118","103","15","0.873","5.95","0.65","15.28","33","25","8","0.758","3.17","-1.21","38","34","4","0.895","1.59","1.52","47","44","3","0.936","1.19","0.45","2","13","31.37","24.67"
"22","Tuukka Rask","BOS","46","190","156","136","20","0.872","6.32","0.69","17.72","37","28","9","0.757","2.84","-1.39","56","49","7","0.875","2.21","1.13","60","56","4","0.933","1.26","0.41","3","12","34.49","24.90"
"50","Sergei Bobrovsky","CBJ","62","231.63333333333","149","130","19","0.872","4.92","0.76","18.16","36","29","7","0.806","1.81","0.41","58","51","7","0.879","1.81","1.42","54","49","5","0.907","1.30","-1.03","2","13","33.11","28.16"
"60","Garret Sparks","TOR","20","62.983333333333","46","40","6","0.870","5.72","0.10","5.33","9","7","2","0.778","1.91","-0.15","19","15","4","0.789","3.81","-1.24","18","18","0","1.000","0.00","1.32","0","5","32.04","22.17"
"36","Jake Allen","STL","46","214.88333333333","175","152","23","0.869","6.42","0.21","23.86","57","44","13","0.772","3.63","-1.27","52","47","5","0.904","1.40","2.55","65","60","5","0.923","1.40","-0.22","0","23","29.71","28.35"
"67","Matt Murray","PIT","50","211.21666666667","178","154","24","0.865","6.82","-0.39","19.82","41","27","14","0.659","3.98","-5.56","55","49","6","0.891","1.70","1.98","80","76","4","0.950","1.14","1.88","5","20","33.03","22.71"
"81","Pheonix Copley","WSH","27","121.65","95","82","13","0.863","6.41","-0.40","12.17","30","26","4","0.867","1.97","2.17","24","17","7","0.708","3.45","-3.52","41","39","2","0.951","0.99","1.01","2","14","31.53","26.85"
